Visa	4539674578894850	573	18-Jun
Visa	4916444490227700	37	15-May
MasterCard	5573281208763860	417	19-Dec
MasterCard	5591359335823150	628	19-Jun
MasterCard	5101430595710350	171	18-Jan
Visa	4532065383198470	902	18-Oct
Visa	4485637622815750	99	15-Aug
Visa	4556425756482370	519	17-Aug
MasterCard	5338552345101690	134	17-May
MasterCard	5179527943272450	226	18-May
MasterCard	5354859998568960	565	16-Feb
Visa	4716145049127560	982	17-Jan
Visa	4929427255107550	664	17-Oct
MasterCard	5332026461090950	629	15-Mar
MasterCard	5213024720152620	716	18-Apr
Visa	4539848753657970	672	17-Apr
Visa	4716624834524000	379	17-Feb
MasterCard	5204902625545290	237	17-Jan
MasterCard	5267701972409420	778	19-Oct
Visa	4539928392732630	84	19-Jul
Visa	4716293995761690	852	15-Apr
MasterCard	5258948988294630	850	18-Jun
MasterCard	5493208667165120	401	19-Sep
MasterCard	5426853554786810	658	19-Apr
Visa	4485539081445270	584	18-Jan
MasterCard	5217188810076360	719	16-Feb
MasterCard	5489246528919120	839	17-May
MasterCard	5145220819936050	653	15-Feb
Visa	4929124465559760	503	16-Jul
Visa	4556371382211240	70	19-Jul
MasterCard	5154370311852270	223	17-Feb
Visa	4485134077762720	813	17-Nov
Visa	4485125605366260	243	15-Aug
MasterCard	5522752671826150	325	16-Aug
MasterCard	5365863874902520	23	16-Apr
Visa	4716580347008260	152	16-Aug
MasterCard	5529940900983370	858	16-Apr
MasterCard	5215629801203220	474	16-Jul
MasterCard	5321896930245450	145	15-Mar
Visa	4716662143674710	304	15-May
MasterCard	5488723350220460	487	16-Jun
Visa	4485990588084870	625	15-Feb
Visa	4485090926838420	765	17-Jul
Visa	4485296638690950	16	16-Jan
Visa	4485659016864500	88	16-Mar
MasterCard	5550118657473380	330	17-May
MasterCard	5192472333541390	168	17-Jun
MasterCard	5322435708696510	235	15-Jun
Visa	4539838158489920	441	16-Nov
MasterCard	5454595522062030	110	16-Aug
MasterCard	5162270357821870	52	18-Sep
Visa	4556859180104120	202	16-Jul
MasterCard	5170091206973670	412	18-Jul
Visa	4916646749144170	282	15-Jun
MasterCard	5526450763343910	276	16-Feb
MasterCard	5587394001266580	34	18-Nov
Visa	4556412443444310	436	16-Nov
Visa	4929493226933490	934	16-Oct
Visa	4716538916376660	852	17-Feb
MasterCard	5313141256638480	145	17-Apr
Visa	4716039270228150	69	19-Oct
Visa	4929600937926980	29	17-Aug
Visa	4532632944176940	284	18-Jul
Visa	4716523274730230	983	19-Dec
MasterCard	5305896194524330	731	18-Jun
Visa	4539129964974300	102	15-Aug
Visa	4916759798071300	352	19-Jan
Visa	4716458005730580	103	16-Oct
Visa	4716300267327100	758	18-Dec
Visa	4716429283712490	893	17-Feb
Visa	4916939026755020	13	17-Dec
MasterCard	5218385608504120	398	19-Feb
Visa	4532747826507610	950	15-Oct
MasterCard	5342137817439950	918	19-Dec
MasterCard	5107657662643930	757	16-Dec
MasterCard	5333148054877310	268	17-Jan
MasterCard	5398785438204750	987	15-May
MasterCard	5158757956007550	601	15-Sep
MasterCard	5480843312395980	512	16-Dec
Visa	4916643717033720	807	17-Feb
Visa	4916974102280900	61	18-Jul
Visa	4485162540600700	764	18-Feb
Visa	4539944157285930	315	17-Feb
Visa	4532084549385280	830	19-Dec
Visa	4539996905645060	144	16-Jun
Visa	4539804987327620	488	18-Aug
MasterCard	5153810970328860	617	17-May
MasterCard	5171465654956920	82	17-Dec
MasterCard	5258393167698790	260	19-Dec
Visa	4539708550402000	484	17-May
Visa	4556978778314640	985	16-Jan
MasterCard	5413882478036550	525	19-Mar
Visa	4556712061550320	370	15-Aug
Visa	4532345731866870	628	19-Oct
Visa	4485723360873520	897	19-Sep
Visa	4916639213357840	534	16-Feb
Visa	4556315620451810	11	18-Feb
MasterCard	5264443708448940	405	17-Mar
Visa	4916330411547230	123	16-Dec
Visa	4485340339577360	648	16-Oct
Visa	4532798754675070	919	15-May
Visa	4556111413145330	857	15-Jun
MasterCard	5123169452889760	522	18-Dec
Visa	4556040103012860	77	17-Mar
Visa	4916685069106380	965	19-Jan
MasterCard	5445059498218600	313	15-Apr
MasterCard	5323576109221440	276	17-Oct
MasterCard	5326857634453630	544	18-Feb
Visa	4532778689004230	104	16-Aug
Visa	4929007030783650	119	15-Oct
Visa	4539363406711010	719	16-Nov
Visa	4716109830807560	272	19-Sep
MasterCard	5463281219073360	911	18-Mar
MasterCard	5244102573017700	462	19-Jan
MasterCard	5279897837650360	208	18-May
Visa	4916694522536750	297	16-Feb
Visa	4532232280281360	790	19-May
MasterCard	5133569561904340	748	16-Mar
Visa	4556740014488050	483	15-Jan
MasterCard	5183000297719930	492	16-May
MasterCard	5363350329066120	295	15-Sep
MasterCard	5448958977797290	657	18-Aug
MasterCard	5351935086654230	839	16-Oct
Visa	4485400509043890	113	18-Jan
MasterCard	5141614529336290	446	18-Aug
Visa	4556072793114240	501	15-Sep
Visa	4929014737896180	830	17-Jun
MasterCard	5262800157905100	903	17-Dec
MasterCard	5374715737044430	87	17-Dec
Visa	4716578794181570	810	19-Feb
Visa	4485803670739050	647	15-Oct
Visa	4929360411033710	538	16-Mar
MasterCard	5202762114835830	8	18-Nov
Visa	4532452826923850	332	16-Dec
MasterCard	5575178790190800	290	18-Oct
MasterCard	5549804916454370	548	19-Oct
MasterCard	5540790276071640	203	15-Oct
Visa	4916227272890300	729	16-Jun
Visa	4532953817501070	360	15-Jun
MasterCard	5299742271707470	821	16-Dec
MasterCard	5196517614717230	60	18-Apr
MasterCard	5458393924847720	345	17-Jun
Visa	4556198589657840	996	15-Oct
MasterCard	5506794270025860	464	19-Jun
Visa	4929427019558910	916	16-Feb
MasterCard	5470750436382140	794	18-Sep
Visa	4485833085031260	865	16-Sep
Visa	4539600109641550	467	18-Oct
MasterCard	5356141784613040	776	18-Jul
Visa	4929426683196180	734	16-May
Visa	4532785975278330	47	17-Apr
Visa	4485540783768400	618	17-Oct
MasterCard	5541506279137430	958	15-Jul
MasterCard	5195426629209130	835	17-Sep
Visa	4532178033025170	753	17-Oct
MasterCard	5131415111590320	81	19-May
MasterCard	5386383955852650	860	16-Dec
MasterCard	5353546857648260	865	15-Apr
Visa	4539658803996210	432	16-Feb
MasterCard	5412218240052020	92	16-Feb
Visa	4556159185637690	777	19-May
MasterCard	5267747973280760	328	17-Nov
MasterCard	5472768356107500	553	17-Apr
Visa	4532893433644360	682	16-Mar
Visa	4532780840919420	301	15-May
Visa	4556833336963590	843	16-Oct
Visa	4532469672296530	892	17-Jan
Visa	4539828535870130	886	18-Mar
Visa	4539565268094820	341	15-Oct
Visa	4916701347183330	470	18-Jun
MasterCard	5501175861071470	581	17-Dec
MasterCard	5444355580645280	246	17-Feb
Visa	4916006596814260	830	17-Jan
Visa	4556224842898480	598	18-Nov
MasterCard	5238302875953680	975	19-Apr
Visa	4539692215824430	669	16-Jan
MasterCard	5208566290868370	729	17-Jul
MasterCard	5308282761769740	711	15-Jan
Visa	4929405431250930	431	17-Mar
Visa	4916600726455060	751	15-Jun
MasterCard	5579772751259790	601	18-Sep
Visa	4929476229230750	735	17-Feb
MasterCard	5384546645289010	334	18-Aug
MasterCard	5214802522021750	615	15-Feb
MasterCard	5186358282680740	264	18-Sep
MasterCard	5547940957068080	642	17-Oct
MasterCard	5551155473039540	300	17-Jul
MasterCard	5407929868594540	853	17-Jun
MasterCard	5475672236520200	397	17-Jul
MasterCard	5430614182798490	857	15-Jul
Visa	4916263847703450	211	15-Jun
MasterCard	5169310953886130	233	19-Feb
Visa	4916845212175080	211	18-Jan
Visa	4916616941353130	78	15-Apr
Visa	4916452237008470	239	18-Sep
Visa	4485825095310240	795	15-May
Visa	4485707714045550	936	17-Jul
Visa	4556406493523060	516	17-Aug
MasterCard	5171305519802370	117	19-May
MasterCard	5427978404484930	6	17-Apr
MasterCard	5130309881960320	915	15-Sep
Visa	4485034154882610	307	16-Mar
MasterCard	5577333036349010	62	17-Mar
MasterCard	5185762107307030	86	18-Dec
Visa	4532731224604940	997	18-Apr
MasterCard	5477866216709160	860	15-Aug
MasterCard	5342434039890390	639	18-Nov
MasterCard	5481129372852720	922	16-Jan
Visa	4916139153317050	56	16-Feb
MasterCard	5420611808878570	103	18-Jun
MasterCard	5286415878517130	418	19-Sep
Visa	4539244247279400	530	19-Sep
Visa	4485555817500550	471	16-Mar
Visa	4532602373597960	861	15-Jul
Visa	4485684035281210	139	17-Sep
Visa	4539057429434310	110	19-Aug
MasterCard	5271992233715700	954	16-Jun
MasterCard	5324074977992790	69	16-May
MasterCard	5500642305044230	83	19-Feb
Visa	4929832096526770	166	18-Dec
Visa	4539605549351490	866	18-Jan
Visa	4916025135587890	822	15-Sep
Visa	4716820339421380	588	15-Nov
MasterCard	5396520892494420	768	15-Dec
Visa	4929702745023590	65	19-Jul
Visa	4539837327487880	255	18-May
MasterCard	5503457563350820	256	16-Apr
Visa	4539574826635880	617	16-Oct
Visa	4929051438957700	846	17-Jan
MasterCard	5541313326293800	877	15-Apr
Visa	4532521944150570	62	17-Oct
MasterCard	5299919045816220	771	17-Aug
MasterCard	5326875473493740	986	18-Dec
MasterCard	5370096914042660	521	18-Aug
MasterCard	5253954515610560	645	18-Sep
MasterCard	5273376927871220	420	17-Jun
Visa	4532212051419120	234	17-Aug
MasterCard	5487748567958890	194	17-May
Visa	4532815537927340	216	18-May
MasterCard	5194549780733870	412	15-Aug
Visa	4539497303189730	234	19-Jan
MasterCard	5549506952653900	790	18-Aug
Visa	4485114803793640	502	19-Jan
MasterCard	5266320267117510	406	15-Aug
Visa	4916527684329780	833	16-Apr
MasterCard	5209453849159420	395	17-Nov
Visa	4929337744116240	463	17-Apr
Visa	4716038744100370	464	16-Jan
Visa	4539153084123380	765	16-May
MasterCard	5326185756119400	495	15-Jan
MasterCard	5296070124134790	672	18-Aug
MasterCard	5106973046381190	550	18-Jul
MasterCard	5197449776324360	943	16-Dec
Visa	4716318202698140	819	17-Dec
Visa	4532149892994070	312	15-May
Visa	4716445833156550	850	16-Oct
Visa	4532310586929960	539	17-Oct
MasterCard	5302308018474270	454	17-Jan
MasterCard	5432585776863620	308	18-Sep
Visa	4485669563555480	371	15-Sep
MasterCard	5422027103969160	368	16-Jan
MasterCard	5375627612858730	141	18-Jan
MasterCard	5257487663630990	746	18-Nov
MasterCard	5523348275394050	625	17-Mar
MasterCard	5491112315647600	808	19-May
Visa	4556033198092070	967	16-Jul
Visa	4556243676675030	310	16-Mar
MasterCard	5123594648361540	109	15-Oct
MasterCard	5151103348460500	583	15-Jan
MasterCard	5466935898022290	193	15-Mar
Visa	4485642870749470	513	19-Apr
Visa	4716733518464010	761	19-Sep
MasterCard	5556407054056390	622	16-Jan
Visa	4929526569575360	663	17-Sep
MasterCard	5594727325276750	357	17-Dec
Visa	4716282206201850	519	19-Oct
MasterCard	5246013288644960	346	16-Apr
MasterCard	5285535156060490	838	16-Apr
MasterCard	5554504392842580	212	19-Feb
Visa	4556222768768190	80	18-Nov
MasterCard	5297498355089450	949	15-Aug
Visa	4716516636334760	644	16-Jul
Visa	4539511404376450	1	18-Jun
MasterCard	5193416091692900	580	18-Oct
Visa	4716606772108450	557	18-Aug
Visa	4539821368935990	526	15-Sep
Visa	4485696963424740	72	17-Jan
MasterCard	5115108488725190	231	17-Sep
MasterCard	5150775619041710	506	16-Mar
Visa	4532206101759370	85	16-Dec
MasterCard	5156430730243950	598	16-Nov
MasterCard	5168805424307270	90	17-Apr
Visa	4539742365287460	165	17-Feb
MasterCard	5221173310279390	195	16-Jul
MasterCard	5547990845174620	936	19-Apr
Visa	4929808178763200	215	19-Dec
MasterCard	5489664360311900	118	16-Jan
MasterCard	5599199225361750	204	19-Aug
MasterCard	5317712025722580	448	18-Sep
Visa	4539821639359110	654	17-Nov
MasterCard	5536552287671680	723	18-Oct
Visa	4539779920900330	602	18-Sep
Visa	4539756091879960	515	15-Mar
Visa	4539974631851730	297	19-Sep
MasterCard	5483081894425460	966	16-Jan
Visa	4539635969954750	652	16-Aug
Visa	4929764178669630	335	17-May
MasterCard	5521215055056940	642	19-Jun
MasterCard	5103002050539440	120	19-Nov
Visa	4539688523628590	2	19-Apr
MasterCard	5257301471139440	670	15-Aug
MasterCard	5579072930988420	242	17-Jun
MasterCard	5185667331622970	336	17-Mar
Visa	4532428856486920	384	19-Jul
MasterCard	5387731487028550	907	17-Mar
MasterCard	5289880134629750	782	15-Apr
MasterCard	5262353396203130	132	19-Oct
MasterCard	5479308580592610	525	19-Mar
MasterCard	5461647928136130	772	16-Mar
MasterCard	5184245202269450	588	19-Dec
MasterCard	5200020392985620	636	16-Nov
Visa	4532180742813610	320	19-May
MasterCard	5221624378716210	53	17-Jul
Visa	4532255233341260	316	15-Nov
MasterCard	5137045950896720	866	18-Dec
Visa	4716163749598640	271	18-Nov
MasterCard	5121672771380590	893	18-Apr
MasterCard	5550458817143160	29	15-Dec
Visa	4556688937473550	526	17-Aug
Visa	4485006143191090	42	18-Jan
MasterCard	5543345380218080	507	19-Oct
MasterCard	5493112359414550	205	17-Sep
Visa	4485870080549210	591	17-Aug
Visa	4716188398836790	542	16-Nov
Visa	4556781977259040	702	17-Dec
MasterCard	5189327970197120	863	18-Jan
MasterCard	5154989110128350	11	18-Jun
